d2,d3,d6,d7,d8,d13,d14,d15,d_fe4,d16,d17,d18,d19,d_ar3,d_ar5,d_fe8,d_fe9,d_ar7,d_h8,d_h10,label
editor,all,6+,6+months,500k-3m,full,no,filesystem,electron,baas,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,electron_js
editor,all,1,1-3months,100k,full,no,filesystem,electron,no,no,no,no,no,no,no,no,no,no,no,electron_js
editor,all,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,no,onetime,maybe,no,no,no,no,no,yes,no,electron_js
editor,all,2-5,3-6months,100-500k,partial,no,filesystem,tauri,no,no,onetime,maybe,no,no,no,no,no,yes,no,tauri_rust
editor,all,2-5,3-6months,100-500k,full,no,filesystem,tauri,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
editor,all,6+,6+months,500k-3m,full,no,filesystem,tauri,baas,basic,onetime,yes,no,no,yes,yes,yes,yes,yes,tauri_rust
editor,all,1,1-3months,100k,full,no,filesystem,tauri,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
editor,all,2-5,3-6months,100-500k,full,no,filesystem,tauri,no,no,onetime,maybe,no,no,no,yes,no,yes,no,tauri_rust
editor,all,6+,6+months,500k-3m,full,heavy,filesystem,qt,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,6+,6+months,3m+,full,heavy,hardware,qt,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,2-5,3-6months,500k-3m,full,heavy,filesystem,qt,no,basic,onetime,maybe,yes,no,no,no,yes,yes,no,qt_cpp
editor,all,6+,6+months,500k-3m,full,heavy,hardware,qt,no,extended,subscription,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,2-5,6+months,500k-3m,full,moderate,filesystem,unknown,no,no,onetime,maybe,yes,no,no,no,yes,no,no,qt_cpp
utility,all,1,1month,100k,full,no,no,electron,no,no,no,no,no,no,yes,no,no,no,no,electron_js
utility,all,1,1-3months,100k,full,no,no,tauri,no,no,no,no,no,no,yes,yes,no,no,no,tauri_rust
utility,all,2-5,1-3months,100k,full,no,no,tauri,no,no,no,no,no,no,yes,yes,no,no,no,tauri_rust
utility,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
utility,all,1,1-3months,100k,full,no,no,unknown,no,no,no,no,no,no,yes,yes,no,no,no,electron_js
utility,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,1,1-3months,100-500k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,1,1month,100k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,windows,1,1month,100k,full,no,hardware,unknown,no,no,no,no,no,no,no,no,no,no,no,dotnet_wpf
utility,all,1,1-3months,100k,full,no,filesystem,unknown,no,no,no,maybe,no,no,no,no,no,no,no,python_pyqt
utility,all,2-5,1-3months,100-500k,full,moderate,hardware,qt,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,all,2-5,1-3months,100-500k,full,moderate,hardware,unknown,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,windows,1,1month,100k,full,no,no,wpf,no,no,no,no,no,no,yes,no,no,no,no,dotnet_wpf
utility,all,1,1-3months,100k,full,no,no,flutter,no,no,no,no,no,no,yes,yes,no,no,no,flutter_desktop
utility,all,2-5,1-3months,100-500k,full,no,no,flutter,no,no,no,maybe,no,no,yes,yes,no,no,no,flutter_desktop
corporate,all,6+,6+months,500k-3m,partial,no,no,flutter,yes,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,flutter_desktop
editor,all,2-5,3-6months,100-500k,full,no,filesystem,flutter,no,no,onetime,maybe,no,no,no,yes,no,yes,no,flutter_desktop
utility,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,flutter_desktop
corporate,all,2-5,3-6months,100-500k,partial,no,no,flutter,baas,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,flutter_desktop
utility,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,java_fx
corporate,all,6+,6+months,500k-3m,partial,moderate,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,no,yes,java_fx
corporate,all,6+,6+months,3m+,partial,moderate,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,no,yes,java_fx
editor,all,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,no,onetime,maybe,no,no,no,no,no,no,no,java_fx
utility,all,2-5,1-3months,100-500k,full,moderate,no,unknown,no,no,no,no,yes,no,no,no,no,no,no,java_fx
corporate,all,2-5,3-6months,100-500k,full,no,no,unknown,baas,extended,no,maybe,no,yes,yes,yes,no,no,no,java_fx
editor,all,6+,6+months,3m+,full,heavy,hardware,qt,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
utility,all,2-5,1-3months,100-500k,full,heavy,hardware,qt,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
game,all,6+,6+months,3m+,full,heavy,no,qt,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
game,all,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
game,windows,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,maybe,yes,no,no,no,no,yes,no,dotnet_wpf
game,all,2-5,3-6months,100-500k,full,moderate,no,electron,baas,basic,onetime,maybe,no,no,no,no,no,no,no,electron_js
corporate,windows,6+,6+months,3m+,partial,moderate,hardware,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_wpf
editor,all,6+,6+months,500k-3m,partial,heavy,filesystem,qt,no,basic,subscription,yes,yes,no,no,no,yes,yes,yes,qt_cpp
utility,all,1,1month,100k,full,no,no,tauri,no,no,no,no,no,no,yes,yes,no,no,no,tauri_rust
editor,all,6+,6+months,500k-3m,full,no,filesystem,electron,baas,extended,subscription,yes,no,yes,yes,yes,yes,yes,yes,electron_js
corporate,all,6+,6+months,500k-3m,partial,no,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_maui
corporate,all,2-5,3-6months,100-500k,partial,no,no,unknown,yes,extended,no,maybe,no,yes,yes,yes,no,yes,no,dotnet_maui
utility,all,1,1-3months,100k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
editor,all,1,3-6months,100-500k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,2-5,1-3months,100-500k,full,no,no,unknown,baas,basic,no,maybe,no,no,yes,yes,no,no,no,tauri_rust
corporate,all,6+,6+months,3m+,no,no,no,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,electron_js
editor,all,2-5,3-6months,100-500k,partial,no,filesystem,tauri,baas,basic,onetime,yes,no,no,yes,yes,yes,yes,no,tauri_rust
corporate,all,2-5,3-6months,100-500k,no,no,no,flutter,yes,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,flutter_desktop
utility,windows,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,yes,no,no,no,dotnet_wpf
game,all,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
editor,all,2-5,3-6months,100-500k,full,moderate,filesystem,qt,no,no,onetime,maybe,yes,no,no,no,yes,no,no,qt_cpp
utility,all,2-5,1-3months,100-500k,full,no,hardware,qt,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
corporate,windows,1,1-3months,100k,full,no,no,unknown,no,basic,no,no,no,no,no,no,no,no,no,dotnet_wpf
corporate,windows,1,1-3months,100k,full,no,filesystem,wpf,no,basic,no,no,no,no,yes,no,no,no,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,full,no,no,wpf,no,extended,onetime,maybe,no,no,yes,yes,no,yes,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,partial,no,filesystem,unknown,no,extended,no,maybe,no,no,yes,yes,no,yes,no,dotnet_wpf
corporate,windows,6+,6+months,500k-3m,partial,moderate,filesystem,wpf,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_wpf
corporate,windows,2-5,1-3months,100-500k,full,no,no,unknown,no,basic,no,no,no,no,no,yes,no,no,no,dotnet_wpf
corporate,windows,1,3-6months,100-500k,full,no,hardware,wpf,no,no,no,no,no,no,no,no,no,no,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,full,no,no,wpf,baas,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,dotnet_wpf
corporate,windows,6+,6+months,500k-3m,partial,no,hardware,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,extended,onetime,no,no,no,yes,yes,no,yes,no,dotnet_wpf
corporate,all,1,1-3months,100k,full,no,no,unknown,no,basic,no,no,no,no,no,yes,no,no,no,dotnet_maui
corporate,all,2-5,1-3months,100-500k,full,no,no,unknown,baas,basic,no,maybe,no,no,yes,yes,no,no,no,dotnet_maui
corporate,all,2-5,3-6months,100-500k,partial,no,no,unknown,yes,extended,no,yes,no,yes,yes,yes,no,yes,no,dotnet_maui
corporate,all,6+,6+months,500k-3m,partial,no,no,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_maui
corporate,all,2-5,3-6months,100-500k,partial,no,filesystem,unknown,yes,extended,no,maybe,no,no,yes,yes,no,yes,no,dotnet_maui
corporate,all,6+,6+months,3m+,no,no,no,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_maui
corporate,all,2-5,3-6months,100-500k,full,no,no,flutter,baas,basic,no,maybe,no,no,yes,yes,no,no,no,flutter_desktop
corporate,all,2-5,3-6months,100-500k,no,no,no,flutter,yes,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,flutter_desktop
corporate,all,6+,6+months,500k-3m,no,no,no,flutter,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,flutter_desktop
corporate,all,2-5,1-3months,100-500k,full,no,no,flutter,no,basic,no,no,no,no,yes,yes,no,no,no,flutter_desktop
corporate,all,6+,6+months,500k-3m,partial,no,no,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,no,yes,java_fx
corporate,all,2-5,3-6months,100-500k,partial,no,filesystem,unknown,yes,extended,no,maybe,yes,no,yes,yes,no,no,no,java_fx
corporate,all,6+,6+months,3m+,partial,moderate,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,no,yes,java_fx
corporate,all,2-5,3-6months,100-500k,full,no,no,unknown,baas,extended,no,maybe,no,yes,yes,yes,no,no,no,java_fx
editor,all,1,1month,100k,full,no,filesystem,electron,no,no,no,no,no,no,no,no,no,no,no,electron_js
editor,all,1,1-3months,100k,full,no,filesystem,electron,no,no,no,no,no,no,no,yes,no,no,no,electron_js
editor,all,2-5,1-3months,100-500k,full,no,filesystem,electron,no,basic,onetime,maybe,no,no,yes,yes,no,yes,no,electron_js
editor,all,2-5,3-6months,100-500k,full,no,filesystem,electron,no,no,onetime,maybe,no,no,no,no,no,yes,no,electron_js
editor,all,6+,6+months,500k-3m,partial,no,filesystem,electron,baas,extended,subscription,yes,no,yes,yes,yes,yes,yes,yes,electron_js
editor,all,1,1-3months,100-500k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,electron_js
editor,all,2-5,3-6months,100-500k,full,no,filesystem,electron,no,no,no,maybe,no,no,yes,no,no,no,no,electron_js
editor,all,6+,6+months,500k-3m,full,no,filesystem,electron,yes,extended,subscription,yes,no,yes,yes,yes,yes,yes,yes,electron_js
editor,all,1,1month,100k,full,no,filesystem,tauri,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
editor,all,1,1-3months,100k,full,no,filesystem,tauri,no,no,no,no,no,no,no,yes,no,no,no,tauri_rust
editor,all,2-5,1-3months,100-500k,full,no,filesystem,tauri,no,no,onetime,maybe,no,no,no,no,no,yes,no,tauri_rust
editor,all,2-5,3-6months,100-500k,full,no,filesystem,tauri,no,basic,onetime,maybe,no,no,yes,yes,no,yes,no,tauri_rust
editor,all,6+,6+months,500k-3m,full,no,filesystem,tauri,baas,basic,onetime,yes,no,no,yes,yes,yes,yes,yes,tauri_rust
editor,all,1,1-3months,100-500k,full,no,filesystem,unknown,no,no,onetime,no,no,no,no,no,no,no,no,tauri_rust
editor,all,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,no,onetime,maybe,no,no,no,no,yes,yes,no,tauri_rust
editor,all,6+,6+months,500k-3m,full,heavy,filesystem,qt,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,6+,6+months,3m+,full,heavy,hardware,qt,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,2-5,3-6months,500k-3m,full,heavy,filesystem,qt,no,basic,onetime,maybe,yes,no,no,no,yes,yes,no,qt_cpp
editor,all,6+,6+months,500k-3m,full,heavy,hardware,unknown,no,no,onetime,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,2-5,6+months,500k-3m,full,moderate,filesystem,unknown,no,no,onetime,maybe,yes,no,no,no,yes,no,no,qt_cpp
editor,all,6+,6+months,500k-3m,partial,heavy,filesystem,qt,no,basic,subscription,yes,yes,no,no,no,yes,yes,yes,qt_cpp
editor,all,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,no,onetime,maybe,no,no,no,no,no,no,no,java_fx
editor,all,1,3-6months,100-500k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
editor,all,1,1-3months,100k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
editor,all,2-5,3-6months,100-500k,full,moderate,filesystem,unknown,no,no,no,maybe,yes,no,no,no,no,no,no,python_pyqt
editor,all,2-5,3-6months,100-500k,full,no,filesystem,flutter,no,no,onetime,maybe,no,no,no,yes,no,yes,no,flutter_desktop
editor,all,6+,6+months,500k-3m,partial,no,filesystem,flutter,yes,extended,subscription,yes,no,yes,yes,yes,yes,yes,yes,flutter_desktop
utility,all,1,1month,100k,full,no,no,electron,no,no,no,no,no,no,yes,no,no,no,no,electron_js
utility,all,1,1-3months,100k,full,no,no,electron,no,no,no,no,no,no,no,yes,no,no,no,electron_js
utility,all,2-5,1-3months,100-500k,full,no,no,electron,no,no,no,maybe,no,no,yes,yes,no,no,no,electron_js
utility,all,1,1month,100k,full,no,filesystem,electron,no,no,no,no,no,no,no,no,no,no,no,electron_js
utility,all,1,1month,100k,full,no,no,tauri,no,no,no,no,no,no,yes,no,no,no,no,tauri_rust
utility,all,1,1-3months,100k,full,no,no,tauri,no,no,no,no,no,no,no,yes,no,no,no,tauri_rust
utility,all,2-5,1-3months,100-500k,full,no,no,tauri,no,no,no,maybe,no,no,yes,yes,no,no,no,tauri_rust
utility,all,1,1month,100k,full,no,filesystem,tauri,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
utility,all,2-5,1-3months,100-500k,full,no,no,unknown,baas,basic,no,maybe,no,no,yes,yes,no,no,no,tauri_rust
utility,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,1,1-3months,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,1,1month,100k,full,no,filesystem,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,2-5,1-3months,100-500k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
utility,all,1,1-3months,100-500k,full,no,filesystem,unknown,no,no,no,maybe,no,no,no,no,no,no,no,python_pyqt
utility,all,2-5,1-3months,100-500k,full,moderate,hardware,qt,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,all,2-5,1-3months,100-500k,full,heavy,hardware,qt,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,all,1,1-3months,100-500k,full,moderate,hardware,unknown,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,all,2-5,1-3months,100-500k,full,heavy,hardware,unknown,no,no,no,no,yes,no,no,no,no,no,no,qt_cpp
utility,windows,1,1month,100k,full,no,no,wpf,no,no,no,no,no,no,yes,no,no,no,no,dotnet_wpf
utility,windows,1,1-3months,100k,full,no,hardware,unknown,no,no,no,no,no,no,no,no,no,no,no,dotnet_wpf
utility,windows,2-5,1-3months,100-500k,full,no,filesystem,unknown,no,basic,no,no,no,no,yes,yes,no,no,no,dotnet_wpf
utility,all,1,1month,100k,full,no,no,flutter,no,no,no,no,no,no,yes,yes,no,no,no,flutter_desktop
utility,all,2-5,1-3months,100-500k,full,no,no,flutter,no,no,no,maybe,no,no,yes,yes,no,no,no,flutter_desktop
utility,all,1,1-3months,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,java_fx
utility,all,2-5,1-3months,100-500k,full,moderate,no,unknown,no,no,no,no,yes,no,no,no,no,no,no,java_fx
game,all,6+,6+months,3m+,full,heavy,no,qt,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
game,all,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
game,all,2-5,3-6months,100-500k,full,heavy,no,qt,no,no,onetime,maybe,yes,no,no,no,no,no,no,qt_cpp
game,all,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
game,windows,6+,6+months,500k-3m,full,heavy,no,unknown,no,no,onetime,maybe,yes,no,no,no,no,yes,no,dotnet_wpf
game,all,2-5,3-6months,100-500k,full,moderate,no,electron,baas,basic,onetime,maybe,no,no,no,no,no,no,no,electron_js
game,all,2-5,3-6months,100-500k,full,heavy,no,unknown,no,no,onetime,maybe,yes,no,no,no,no,no,no,qt_cpp
game,all,6+,6+months,3m+,full,heavy,no,unknown,no,no,onetime,yes,yes,no,no,no,no,yes,no,qt_cpp
other,all,1,1month,100k,full,no,no,electron,no,no,no,no,no,no,yes,no,no,no,no,electron_js
other,all,1,1month,100k,full,no,no,tauri,no,no,no,no,no,no,no,no,no,no,no,tauri_rust
other,all,1,1month,100k,full,no,no,unknown,no,no,no,no,no,no,no,no,no,no,no,python_pyqt
other,all,2-5,1-3months,100-500k,full,no,no,flutter,no,no,no,maybe,no,no,yes,yes,no,no,no,flutter_desktop
other,windows,1,1month,100k,full,no,no,wpf,no,no,no,no,no,no,no,no,no,no,no,dotnet_wpf
other,all,2-5,1-3months,100-500k,full,no,filesystem,unknown,no,basic,no,no,no,no,no,no,no,no,no,java_fx
