d_d0,d_d1,d_d2,d_d3,d_d4,d_d5,d_d6,d_d7,d_d8,d_d9,d_d10,label
utility,no,select,unknown,no,tabs,no,no,no,basic,no,tauri_rust
utility,no,no,unknown,no,tabs,no,no,no,no,no,tauri_rust
utility,yes,no,unknown,sketch,tabs,no,subtle,no,basic,no,tauri_rust
utility,no,select,unknown,no,tabs,no,no,no,basic,no,tauri_rust
utility,no,no,unknown,no,tabs,no,no,no,no,no,electron_js
utility,no,select,unknown,no,tabs,no,subtle,no,basic,no,electron_js
utility,yes,no,unknown,sketch,tabs,no,subtle,no,basic,no,electron_js
utility,no,no,unknown,no,tabs,no,no,no,no,no,flutter_desktop
utility,no,select,material,no,tabs,no,subtle,no,basic,no,flutter_desktop
utility,yes,no,unknown,no,tabs,no,no,no,no,no,qt_cpp
utility,no,select,unknown,no,tabs,no,no,no,basic,no,qt_cpp
game,no,select,custom,no,tabs,yes,rich,no,no,no,electron_js
game,yes,yes,custom,figma,tabs,yes,rich,no,no,no,electron_js
game,no,select,custom,sketch,tabs,yes,rich,no,no,no,electron_js
game,no,no,custom,no,tabs,yes,rich,no,no,no,electron_js
game,no,select,custom,no,tabs,yes,rich,no,no,no,qt_cpp
game,yes,yes,custom,figma,tabs,yes,rich,no,no,no,qt_cpp
game,no,select,custom,sketch,tabs,yes,rich,no,no,no,qt_cpp
game,no,no,custom,no,tabs,yes,rich,no,no,no,qt_cpp
game,no,select,custom,no,tabs,yes,rich,no,no,no,dotnet_wpf
game,yes,yes,custom,figma,tabs,yes,rich,no,no,no,dotnet_wpf
other,no,select,unknown,no,sidebar,no,subtle,no,basic,no,electron_js
other,yes,yes,unknown,figma,sidebar,optional,subtle,nice,yes,tooltips,electron_js
other,no,select,unknown,sketch,sidebar,no,subtle,no,basic,no,electron_js
other,no,no,unknown,no,tabs,no,no,no,no,no,python_pyqt
other,no,select,unknown,no,tabs,no,no,no,basic,no,python_pyqt
other,no,select,material,no,sidebar,optional,subtle,nice,yes,tooltips,flutter_desktop
other,yes,yes,material,figma,sidebar,yes,subtle,yes,yes,full,flutter_desktop
other,no,select,unknown,no,sidebar,no,subtle,no,basic,no,java_fx
other,yes,yes,unknown,figma,sidebar,optional,subtle,nice,yes,tooltips,java_fx
other,no,select,unknown,sketch,sidebar,no,subtle,no,basic,no,tauri_rust
other,no,no,unknown,no,tabs,no,no,no,no,no,tauri_rust
