w2,w3,w5,w6,w7,w8,w12,w13,w_fe3,w_fe4,w14,w15,w_be3,w16,w17,w_ar3,w18,w19,w20,w_ar6,w_be8,label
news,both,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
news,russia,2-5,3-6months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,maybe,1-50k,monolith,yes,cloud_russia,no,no,no,wordpress_php
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,python,yes,50-500k,monolith,yes,cloud_russia,prefer,no,fulltext,nuxt_django_pg
news,abroad,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,node,yes,50-500k,monolith,no,cloud_international,prefer,no,basic,nextjs_node_pg
news,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,no,no,php,no,1-50k,monolith,yes,cloud_russia,no,no,no,wordpress_php
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
news,both,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,basic,no,unknown,maybe,50-500k,monolith,no,cloud_international,prefer,no,basic,nuxt_django_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,international,node,yes,50-500k,monolith,no,cloud_international,critical,yes,fulltext,react_nestjs_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,python,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,react_fastapi_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,angular,extended,international,dotnet,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,angular_dotnet_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,yes,basic,react_nestjs_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,react_fastapi_pg
saas,both,6+,6+months,1m+,20k+,nice,app,ssr,react,extended,both,node,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
saas,both,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,international,node,yes,1-50k,monolith,no,cloud_international,prefer,yes,no,react_nestjs_pg
saas,russia,6+,6+months,1m+,20k+,no,app,spa,react,extended,russia,java,yes,50-500k,microservices,yes,cloud_russia,critical,yes,fulltext,react_nestjs_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,python,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,react_fastapi_pg
saas,abroad,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,vue,extended,international,node,yes,1-50k,monolith,no,cloud_international,prefer,no,no,react_nestjs_pg
blog,russia,1,1month,50k,1k,critical,responsive,ssg,unknown,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,abroad,1,1month,50k,1k,critical,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,russia,1,1month,50k,1k,critical,responsive,ssg,unknown,no,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
blog,russia,1,1-3months,50-300k,1k,critical,responsive,ssr,react,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,nextjs_vercel
blog,abroad,1,1month,50k,1k,critical,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
blog,russia,1,1month,50k,1k,critical,no,ssr,unknown,basic,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
blog,abroad,2-5,1-3months,50-300k,1-5k,critical,responsive,ssg,vue,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,russia,1,1month,50k,1k,critical,responsive,ssg,react,no,ads,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
blog,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,vue,basic,no,unknown,maybe,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
blog,abroad,1,1month,50k,1k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_nestjs_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,both,node,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
saas,both,6+,6+months,1m+,20k+,nice,app,spa,react,extended,both,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,react_nestjs_pg
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,vue,extended,no,python,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nuxt_django_pg
corporate,russia,6+,3-6months,300k-1m,5-20k,critical,responsive,ssr,angular,extended,no,dotnet,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,angular_dotnet_pg
corporate,both,6+,6+months,1m+,20k+,nice,responsive,ssr,angular,extended,no,dotnet,yes,50-500k,microservices,no,cloud_international,critical,yes,basic,angular_dotnet_pg
saas,russia,6+,6+months,1m+,20k+,no,app,spa,angular,extended,russia,dotnet,yes,50-500k,microservices,yes,cloud_russia,critical,yes,fulltext,angular_dotnet_pg
news,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,unknown,no,1-50k,monolith,yes,cloud_russia,no,no,no,nextjs_node_pg
ecommerce,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,russia,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
landing,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,no,no,node,maybe,1k,monolith,yes,cloud_russia,no,no,no,nextjs_vercel
blog,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,node,maybe,1k,monolith,yes,cloud_russia,no,no,no,nextjs_node_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,no,app,spa,vue,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,yes,basic,react_fastapi_pg
ecommerce,both,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,both,python,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_django_pg
news,abroad,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
landing,russia,1,1month,50k,1k,no,no,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,1,1month,50k,1k,no,responsive,ssg,vanilla,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,abroad,1,1month,50k,1k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,2-5,1-3months,50-300k,1k,nice,responsive,ssg,vue,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,abroad,1,1month,50k,1k,no,no,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,both,1,1month,50k,1k,no,responsive,ssg,unknown,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,1,1month,50k,1k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,yes,simple,no,no,no,gatsby_netlify
landing,abroad,2-5,1-3months,50-300k,1-5k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,russia,1,1month,50k,1k,critical,responsive,ssr,react,no,no,node,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,both,1,1-3months,50-300k,1k,nice,responsive,ssg,react,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,abroad,1,1month,50k,1k,nice,responsive,ssg,vue,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,unknown,maybe,1k,monolith,yes,cloud_russia,no,no,no,nextjs_vercel
landing,abroad,2-5,1-3months,50-300k,1k,critical,responsive,ssr,react,basic,no,node,no,1k,monolith,no,cloud_international,no,no,no,nextjs_vercel
corporate,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,no,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
corporate,russia,1,1-3months,50-300k,1k,nice,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,2-5,3-6months,50-300k,1-5k,nice,responsive,ssr,unknown,basic,no,php,maybe,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,1,1-3months,50k,1k,nice,no,ssr,unknown,no,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
corporate,russia,2-5,3-6months,50-300k,1-5k,critical,responsive,ssr,unknown,extended,no,php,maybe,1-50k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,1,1-3months,50-300k,1k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,vue,basic,no,php,no,1-50k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
corporate,russia,2-5,3-6months,300k-1m,5-20k,nice,responsive,ssr,vue,extended,no,unknown,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,vue_laravel_mysql
corporate,both,2-5,3-6months,50-300k,1-5k,nice,responsive,ssr,vue,basic,no,unknown,no,1k,monolith,no,vps,no,no,no,vue_laravel_mysql
corporate,russia,2-5,1-3months,50-300k,1-5k,nice,responsive,ssr,vue,basic,no,python,no,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
corporate,both,6+,3-6months,300k-1m,5-20k,nice,responsive,ssr,vue,extended,no,unknown,maybe,1-50k,monolith,no,cloud_international,no,no,no,vue_laravel_mysql
corporate,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,extended,no,php,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,bitrix_php
corporate,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,unknown,extended,no,php,yes,50-500k,monolith,yes,cloud_russia,critical,no,basic,bitrix_php
corporate,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,basic,no,php,maybe,1-50k,monolith,yes,cloud_russia,prefer,no,no,bitrix_php
corporate,both,6+,6+months,1m+,20k+,nice,responsive,ssr,angular,extended,no,dotnet,yes,50-500k,monolith,no,cloud_international,critical,no,basic,angular_dotnet_pg
corporate,russia,6+,3-6months,300k-1m,5-20k,nice,responsive,ssr,angular,extended,no,dotnet,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,angular_dotnet_pg
corporate,both,2-5,3-6months,300k-1m,5-20k,nice,responsive,ssr,angular,extended,no,dotnet,maybe,1-50k,monolith,no,cloud_international,prefer,no,no,angular_dotnet_pg
corporate,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,50-500k,monolith,yes,cloud_russia,critical,no,basic,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,50-300k,5-20k,critical,responsive,ssr,react,extended,russia,node,maybe,1k,monolith,yes,cloud_russia,prefer,no,no,nextjs_nestjs_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,russia,node,yes,50-500k,monolith,yes,cloud_russia,critical,no,basic,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,both,node,yes,1-50k,monolith,yes,cloud_russia,prefer,yes,basic,nextjs_nestjs_pg
ecommerce,both,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,both,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,russia,node,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_django_pg
ecommerce,both,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,both,python,yes,50-500k,microservices,no,cloud_international,critical,no,fulltext,nextjs_django_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,yes,basic,nextjs_django_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,both,python,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_django_pg
ecommerce,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,russia,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
ecommerce,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,russia,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
ecommerce,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,extended,russia,php,maybe,1-50k,monolith,yes,cloud_russia,no,no,no,wordpress_php
ecommerce,russia,2-5,3-6months,50-300k,5-20k,critical,responsive,ssr,unknown,extended,russia,php,maybe,1-50k,monolith,yes,cloud_russia,prefer,no,no,bitrix_php
ecommerce,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,unknown,extended,russia,php,yes,50-500k,monolith,yes,cloud_russia,critical,no,basic,bitrix_php
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,nextjs_node_pg
news,russia,2-5,3-6months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,node,maybe,1-50k,monolith,yes,cloud_russia,no,no,no,nextjs_node_pg
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,node,yes,50-500k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_node_pg
news,abroad,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,node,maybe,50-500k,monolith,no,cloud_international,prefer,no,basic,nextjs_node_pg
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,basic,no,python,yes,50-500k,monolith,yes,cloud_russia,prefer,no,basic,nuxt_django_pg
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,vue,extended,no,python,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nuxt_django_pg
news,both,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,basic,no,python,maybe,50-500k,monolith,no,cloud_international,prefer,no,basic,nuxt_django_pg
news,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,no,1-50k,monolith,yes,cloud_russia,no,no,no,wordpress_php
news,russia,1,1-3months,50-300k,1k,critical,responsive,ssr,unknown,no,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
news,both,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,node,yes,50-500k,monolith,no,cloud_international,critical,yes,basic,react_nestjs_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,yes,no,react_nestjs_pg
saas,both,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,international,node,yes,1-50k,monolith,no,cloud_international,prefer,yes,basic,react_nestjs_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,react_nestjs_pg
saas,russia,6+,6+months,1m+,20k+,no,app,spa,react,extended,russia,node,yes,50-500k,microservices,yes,cloud_russia,critical,yes,basic,react_nestjs_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,python,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,react_fastapi_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,react_fastapi_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,react,extended,both,python,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,react_fastapi_pg
saas,russia,6+,6+months,1m+,20k+,no,app,spa,react,extended,russia,python,yes,50-500k,microservices,yes,cloud_russia,critical,yes,basic,react_fastapi_pg
saas,both,2-5,3-6months,300k-1m,5-20k,no,responsive,spa,react,extended,international,python,yes,1-50k,monolith,no,cloud_international,prefer,no,no,react_fastapi_pg
saas,both,6+,6+months,1m+,20k+,no,app,spa,angular,extended,both,dotnet,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,angular_dotnet_pg
saas,russia,6+,6+months,1m+,20k+,no,app,spa,angular,extended,russia,dotnet,yes,50-500k,microservices,yes,cloud_russia,critical,yes,basic,angular_dotnet_pg
saas,both,6+,6+months,1m+,20k+,nice,app,ssr,react,extended,both,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
saas,russia,6+,6+months,1m+,20k+,nice,app,ssr,react,extended,russia,python,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,react_fastapi_pg
blog,russia,1,1month,50k,1k,critical,responsive,ssg,unknown,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,russia,1,1-3months,50k,1k,critical,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,abroad,1,1month,50k,1k,critical,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,abroad,1,1month,50k,1k,nice,responsive,ssg,unknown,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,russia,1,1month,50k,1k,critical,no,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
blog,russia,1,1month,50k,1k,critical,responsive,ssr,unknown,no,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
blog,russia,1,1-3months,50-300k,1k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,simple,no,no,no,wordpress_php
blog,russia,1,1month,50k,1k,critical,responsive,ssr,unknown,no,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
blog,abroad,1,1month,50k,1k,critical,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
blog,abroad,1,1-3months,50-300k,1k,nice,responsive,ssg,react,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,nextjs_vercel
blog,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,node,maybe,1k,monolith,yes,cloud_russia,no,no,no,nextjs_node_pg
blog,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,basic,no,node,maybe,1k,monolith,yes,cloud_russia,no,no,no,nextjs_node_pg
blog,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,vue,basic,no,unknown,no,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
corporate,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,no,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_nestjs_pg
corporate,both,6+,6+months,1m+,20k+,nice,responsive,ssr,react,extended,no,node,yes,50-500k,microservices,no,cloud_international,critical,no,fulltext,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,extended,russia,unknown,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,vue_laravel_mysql
ecommerce,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,vue,basic,russia,unknown,maybe,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,python,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nuxt_django_pg
saas,abroad,6+,6+months,1m+,20k+,no,app,spa,react,extended,international,node,yes,50-500k,monolith,no,cloud_international,critical,yes,basic,react_nestjs_pg
saas,russia,2-5,3-6months,300k-1m,5-20k,nice,responsive,ssr,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,nextjs_nestjs_pg
ecommerce,both,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,international,node,yes,1-50k,monolith,no,cloud_international,prefer,no,basic,nextjs_nestjs_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,russia,node,yes,50-500k,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
corporate,russia,2-5,3-6months,300k-1m,5-20k,nice,responsive,ssr,vue,extended,no,python,maybe,1-50k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
news,abroad,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,no,node,yes,500k+,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
