w_d0,w_d1,w_d2,w_d3,w_d4,w_d5,w_d6,w_d7,w_d8,w_d9,w_d10,w_d11,label
corporate,no,select,no,no,corporate,6-15,top,no,no,nice,yes,bitrix_php
corporate,yes,yes,yes,figma,corporate,16-50,top,no,no,nice,custom,bitrix_php
corporate,no,select,no,sketch,corporate,16-50,top,no,subtle,yes,yes,bitrix_php
corporate,no,select,no,no,corporate,16-50,top,no,no,yes,yes,bitrix_php
corporate,yes,yes,yes,figma,corporate,16-50,top,no,no,yes,custom,bitrix_php
corporate,no,select,no,no,corporate,6-15,top,optional,no,nice,yes,vue_laravel_mysql
corporate,no,select,no,sketch,friendly,6-15,top,no,subtle,nice,yes,vue_laravel_mysql
corporate,yes,yes,yes,figma,corporate,16-50,top,optional,subtle,nice,custom,vue_laravel_mysql
corporate,no,no,no,no,corporate,6-15,top,no,no,no,unknown,vue_laravel_mysql
corporate,no,select,no,sketch,corporate,16-50,top,no,no,nice,yes,angular_dotnet_pg
corporate,yes,yes,yes,figma,corporate,16-50,top,no,subtle,yes,custom,angular_dotnet_pg
corporate,no,select,no,no,corporate,16-50,top,no,no,yes,yes,angular_dotnet_pg
corporate,no,select,no,no,corporate,50+,sidebar,no,no,yes,yes,angular_dotnet_pg
ecommerce,no,select,no,no,friendly,16-50,top,no,subtle,nice,yes,wordpress_php
ecommerce,no,select,no,sketch,friendly,16-50,top,no,subtle,nice,yes,wordpress_php
ecommerce,yes,yes,yes,figma,friendly,16-50,top,no,subtle,nice,custom,wordpress_php
ecommerce,no,select,no,no,friendly,6-15,top,no,subtle,no,yes,wordpress_php
ecommerce,no,select,no,no,friendly,16-50,top,no,subtle,nice,yes,bitrix_php
ecommerce,yes,yes,yes,figma,corporate,16-50,top,no,subtle,yes,custom,bitrix_php
ecommerce,no,select,no,sketch,corporate,16-50,top,no,no,yes,yes,bitrix_php
ecommerce,no,select,no,no,corporate,50+,top,no,no,yes,yes,bitrix_php
ecommerce,no,select,no,no,friendly,16-50,top,no,subtle,nice,yes,nextjs_nestjs_pg
ecommerce,yes,yes,yes,figma,friendly,16-50,top,optional,subtle,nice,custom,nextjs_nestjs_pg
ecommerce,no,select,no,sketch,friendly,16-50,top,no,subtle,nice,yes,nextjs_nestjs_pg
ecommerce,no,select,no,no,friendly,50+,top,yes,subtle,yes,yes,nextjs_nestjs_pg
ecommerce,yes,yes,yes,figma,friendly,50+,top,yes,subtle,yes,custom,nextjs_nestjs_pg
ecommerce,no,select,no,no,friendly,16-50,top,no,subtle,nice,yes,nextjs_django_pg
ecommerce,yes,yes,yes,figma,friendly,16-50,top,optional,subtle,nice,custom,nextjs_django_pg
ecommerce,no,select,no,sketch,friendly,16-50,top,no,subtle,nice,yes,nextjs_django_pg
ecommerce,no,select,no,no,friendly,50+,top,yes,subtle,yes,yes,nextjs_django_pg
ecommerce,no,select,no,no,friendly,16-50,top,no,subtle,nice,yes,vue_laravel_mysql
ecommerce,yes,yes,yes,figma,friendly,16-50,top,no,subtle,nice,custom,vue_laravel_mysql
ecommerce,no,select,no,sketch,friendly,6-15,top,no,subtle,no,yes,vue_laravel_mysql
news,no,select,no,no,minimalist,16-50,top,no,subtle,nice,yes,wordpress_php
news,no,select,no,sketch,corporate,16-50,top,no,no,nice,yes,wordpress_php
news,yes,yes,yes,figma,minimalist,16-50,top,no,subtle,nice,custom,wordpress_php
news,no,no,no,no,minimalist,16-50,top,no,no,no,unknown,wordpress_php
news,no,select,no,no,minimalist,16-50,top,no,subtle,nice,yes,nextjs_node_pg
news,yes,yes,yes,figma,minimalist,16-50,top,no,subtle,nice,custom,nextjs_node_pg
news,no,select,no,sketch,minimalist,50+,top,no,subtle,yes,yes,nextjs_node_pg
news,no,select,no,no,minimalist,50+,top,yes,subtle,yes,yes,nextjs_node_pg
news,no,select,no,no,minimalist,16-50,top,no,subtle,nice,yes,nuxt_django_pg
news,yes,yes,yes,figma,minimalist,16-50,top,optional,subtle,nice,custom,nuxt_django_pg
news,no,select,no,sketch,minimalist,50+,top,no,subtle,yes,yes,nuxt_django_pg
news,no,select,no,no,minimalist,50+,top,yes,subtle,yes,yes,nextjs_nestjs_pg
news,yes,yes,yes,figma,minimalist,50+,top,yes,subtle,yes,custom,nextjs_nestjs_pg
news,no,select,no,no,minimalist,50+,top,optional,subtle,yes,yes,nextjs_nestjs_pg
saas,no,select,no,no,minimalist,6-15,top,yes,subtle,nice,yes,react_nestjs_pg
saas,yes,yes,yes,figma,minimalist,6-15,top,yes,subtle,nice,custom,react_nestjs_pg
saas,no,select,no,sketch,minimalist,16-50,top,yes,subtle,nice,yes,react_nestjs_pg
saas,no,select,no,no,minimalist,16-50,sidebar,yes,subtle,yes,yes,react_nestjs_pg
saas,yes,yes,yes,figma,minimalist,16-50,sidebar,yes,subtle,yes,custom,react_nestjs_pg
saas,no,select,no,no,minimalist,6-15,top,yes,subtle,nice,yes,react_fastapi_pg
saas,yes,yes,yes,figma,minimalist,6-15,top,yes,subtle,nice,custom,react_fastapi_pg
saas,no,select,no,sketch,minimalist,16-50,top,yes,subtle,yes,yes,react_fastapi_pg
saas,no,select,no,no,minimalist,16-50,sidebar,yes,subtle,yes,yes,react_fastapi_pg
saas,no,select,no,no,minimalist,6-15,top,yes,subtle,nice,yes,angular_dotnet_pg
saas,yes,yes,yes,figma,corporate,16-50,top,yes,subtle,yes,custom,angular_dotnet_pg
saas,no,select,no,sketch,corporate,16-50,sidebar,yes,subtle,yes,yes,angular_dotnet_pg
saas,no,select,no,no,minimalist,50+,sidebar,yes,subtle,yes,yes,nextjs_nestjs_pg
saas,yes,yes,yes,figma,minimalist,50+,sidebar,yes,rich,yes,custom,nextjs_nestjs_pg
saas,no,select,no,no,creative,6-15,top,yes,rich,nice,yes,nextjs_nestjs_pg
blog,no,select,no,no,minimalist,2-5,top,no,no,no,unknown,gatsby_netlify
blog,no,select,no,sketch,friendly,2-5,top,no,subtle,no,yes,gatsby_netlify
blog,yes,yes,yes,figma,minimalist,2-5,top,no,subtle,no,custom,gatsby_netlify
blog,no,no,no,no,minimalist,2-5,top,no,no,no,unknown,gatsby_netlify
blog,no,select,no,no,minimalist,6-15,top,no,subtle,no,yes,wordpress_php
blog,no,select,no,sketch,corporate,6-15,top,no,no,no,yes,wordpress_php
blog,yes,yes,yes,figma,friendly,6-15,top,no,subtle,nice,custom,wordpress_php
blog,no,select,no,no,friendly,6-15,top,no,subtle,no,yes,wordpress_php
blog,no,select,no,no,minimalist,6-15,top,no,subtle,nice,yes,nextjs_vercel
blog,yes,yes,yes,figma,minimalist,6-15,top,no,subtle,nice,custom,nextjs_vercel
blog,no,select,no,sketch,friendly,6-15,top,optional,subtle,nice,yes,nextjs_vercel
blog,no,select,no,no,minimalist,6-15,top,no,subtle,nice,yes,nextjs_node_pg
blog,yes,yes,yes,figma,minimalist,16-50,top,no,subtle,nice,custom,nextjs_node_pg
blog,no,select,no,sketch,minimalist,16-50,top,no,subtle,yes,yes,nextjs_node_pg
blog,no,select,no,no,creative,6-15,top,optional,rich,no,custom,nuxt_django_pg
blog,yes,yes,yes,figma,creative,6-15,top,optional,rich,nice,custom,nuxt_django_pg
blog,no,select,no,sketch,friendly,6-15,top,no,subtle,nice,yes,nuxt_django_pg
blog,no,select,no,no,friendly,6-15,top,no,subtle,nice,yes,vue_laravel_mysql
blog,yes,yes,yes,figma,friendly,6-15,top,no,subtle,nice,custom,vue_laravel_mysql
